,group_id,seq,is_chiitoi
33,041598d86,"['E_Round' 'S_Seat' 'WOoA20' '2nd' 'no_riichi' '1_OR' 'DRed' 'LWest'
 'PWest' 'RWest' 'ASouth' 'L9p' 'PWest' 'RNorth' 'ANorth' 'LGreen' 'P9p'
 'RSouth' 'A1m' 'L1p' 'P9s' 'RWhite' 'A1m' 'LWhite' 'P9m' 'R5m' 'AEast'
 'L6p' 'P1m' 'R8m' 'L1s' 'P4s' 'R8p' 'A3s' 'L3p' 'P4p' 'R8p' 'A1s' 'L9m'
 'P4p' 'REast' 'A3s' 'L5s' 'P6s' 'R6m' 'A6m' 'L9m' 'P2s' 'R3m' 'L9s' 'P6s']",1
34,041f1cc40,"['E_Round' 'S_Seat' 'WOoA20' 'tie' 'no_riichi' '0_OR' 'D3p' 'L1p' 'PWest'
 'R9p' 'A9s' 'L1s' 'PRed' 'R1p' 'A2p' 'L9p' 'PWhite' 'RRed' 'AEast'
 'LSouth' 'PRed' 'RWhite' 'AWhite' 'LWest' 'P9s' 'RSouth' 'ASouth' 'LRed'
 'P2p' 'RGreen' 'AGreen' 'L2m' 'P1s' 'R1m' 'A2s' 'LNorth' 'P3p' 'R7m'
 'A8s' 'L8m' 'P3s' 'RNorth' 'A9s' 'LGreen' 'P2p' 'R2p' 'A8m' 'L5m' 'P3m']",1
35,041f1cc44,"['E_Round' 'E_Seat' 'WU20' '4th' 'no_riichi' '0_OR' 'D4s' 'P9s' 'R1p'
 'AEast' 'LNorth' 'PSouth' 'R9m' 'A1p' 'LWest' 'P6s' 'RWest' 'AWest' 'L8s'
 'P8s' 'R3m' 'ARed' 'L1m' 'P3m' 'RSouth' 'A3s' 'LGreen' 'P8s' 'R2p' 'A9s'
 'LSouth' 'P1p' 'RWhite' 'A8p' 'L7m' 'P2p' 'R6s' 'AWhite' 'L3p' 'P2m'
 'RWest' 'A1m' 'L1p' 'P3p' 'R2s' 'AWhite' 'L8m' 'P4p' 'R2s' 'A6p' 'L8p'
 'P5m' 'R7p' 'AGreen' 'R7p' 'A9m' 'L9m' 'P8m' 'R8s' 'AWhite' 'L3m' 'P5p']",1
36,041f5cfc5,"['E_Round' 'N_Seat' 'WOoA20' '4th' 'no_riichi' '0_OR' 'D6m' 'R1m' 'ANorth'
 'LNorth' 'PNorth' 'R1p' 'ASouth' 'LRed' 'P1m' 'R1s' 'A1p' 'L1s' 'PRed'
 'R9p' 'A8s' 'L1p' 'P3p' 'R7p' 'A1s' 'L9m' 'P6p' 'R8p' 'AWest' 'L2m' 'P4s'
 'R3p' 'ANorth' 'L2p' 'P2s' 'R8s' 'ARed' 'LWest' 'P8s']",1
37,04324f005,"['S_Round' 'W_Seat' 'WOoA20' '2nd' 'no_riichi' '0_OR' 'DNorth' 'A2s'
 'LWest' 'P9m' 'R1p' 'A1s' 'L9s' 'P1p' 'R2s' 'ANorth' 'L9m' 'PGreen' 'R6s'
 'ARed' 'L6s' 'P2p' 'R6s' 'A1m' 'L1p' 'P2p' 'R6p' 'A4m' 'LGreen' 'PSouth'
 'R1s' 'A6m' 'L2s' 'P8s' 'R8p' 'A3m' 'L3m' 'P8s' 'R4s' 'A8s' 'L1s' 'P4m'
 'R8p' 'A1p' 'L8p' 'P6s' 'RGreen' 'A7p' 'L7p' 'P3p' 'RWest' 'ANorth' 'L7p'
 'P4p' 'RGreen' 'A9s' 'L1s' 'P5s']",1
38,044e892d1,"['E_Round' 'N_Seat' 'WOoA20' 'tie' 'did_riichi' '1_OR' 'D5m' 'R9p' 'A1p'
 'LNorth' 'P5m' 'R1s' 'ANorth' 'LEast' 'P1s' 'RRed' 'AEast' 'LEast' 'P9p'
 'RGreen' 'AGreen' 'LSouth' 'PGreen' 'R3m' 'AWhite' 'L2m' 'PGreen' 'R1p'
 'A8p' 'L9p' 'P1p' 'R9m' 'A1m' 'L6p' 'P1p' 'R7s' 'AWest' 'LRed' 'PRed'
 'AWest' 'L1m' 'P1s' 'A3m' 'L8m' 'PWest' 'A8m' 'L5m' 'PWhite']",1
39,044e892d4,"['E_Round' 'S_Seat' 'WOoA20' '4th' 'no_riichi' '0_OR' 'D3s' 'L9p' 'P1p'
 'RNorth' 'A1p' 'L9s' 'P9s' 'R1s' 'ASouth' 'LSouth' 'PSouth' 'REast'
 'AEast' 'LNorth' 'PRed' 'R9s' 'ANorth' 'L1m' 'P7p' 'RWest' 'A8s' 'L9p'
 'PWest' 'R1p' 'A8m' 'LWest' 'P9m' 'REast' 'A3p' 'L9m' 'P8s' 'RRed' 'A9p'
 'L1s' 'P6s']",1
40,045dbb5d3,"['E_Round' 'N_Seat' 'WU20' '2nd' 'no_riichi' '0_OR' 'D7p' 'R9m' 'AWest'
 'LSouth' 'PSouth' 'R1s' 'ANorth' 'L8m' 'P9p' 'RWest' 'A1s' 'LRed' 'P1m'
 'RGreen' 'ASouth' 'L7s' 'P2m' 'R1p' 'A9s' 'LGreen' 'PWhite' 'R3s' 'A1p'
 'LWhite' 'P3s' 'R8s' 'A9p' 'L8p' 'P9m' 'RRed' 'A2p' 'LNorth' 'PSouth'
 'R7s' 'A8p' 'L2m' 'P2m' 'R3m' 'ANorth' 'L4m' 'PWhite' 'R1p' 'A8s' 'L7m'
 'P3m' 'REast' 'A3m' 'LGreen' 'PWhite' 'R9p' 'AGreen' 'L4s' 'P8p' 'R6p'
 'AEast' 'L1s' 'P9s' 'R3m' 'AEast' 'LRed' 'PWest' 'R6p' 'A8s' 'L7p'
 'PWest' 'REast' 'A3p' 'L8s' 'P9p' 'RNorth' 'A1p' 'L7s' 'P4p']",1
41,045dbb5d5,"['E_Round' 'W_Seat' 'WOoA20' '2nd' 'no_riichi' '0_OR' 'D9m' 'A1p' 'LNorth'
 'P8p' 'R7p' 'ANorth' 'L1s' 'A8p' 'LSouth' 'PNorth' 'R9m' 'A7s' 'L1s'
 'P8s' 'R1m' 'A7m' 'LGreen' 'P8m' 'RGreen' 'A3m' 'LNorth' 'P3s']",1
42,046e42544,"['S_Round' 'S_Seat' 'WOoA20' '4th' 'no_riichi' '1_OR' 'D5m' 'L8s' 'P9m'
 'REast' 'ANorth' 'L9p' 'PNorth' 'RNorth' 'A2p' 'LEast' 'PGreen' 'R1p'
 'A1s' 'LGreen' 'P9m' 'R2s' 'A4m' 'L2p' 'PWest' 'R1m' 'A1p' 'L3p' 'PWest'
 'R1m' 'A5p' 'L3p' 'P4m' 'REast' 'A1p' 'L4s' 'P3p' 'R3p' 'A2p' 'P5p'
 'RGreen' 'A4s' 'PEast' 'RNorth' 'A4s' 'P6p' 'R1p' 'A6m' 'P7s']",1
